Time (s),Acceleration_mm_s2,Velocity_mm_s,Displacement_mm
0.0,208.49140288322133,0.0,0.0
0.01,281.2669399279922,2.4487917140560675,0.012182738777428936
0.02,264.8572649036676,5.179412738214367,0.050072142233587205
0.03,-142.57249600331463,5.790836582716132,0.1043987718940485
0.04,-1242.1362252318756,-1.1327070234598198,0.12705097259187842
0.05,-3185.1874131539066,-23.26932521538873,0.0050156073406475024
0.06,-5374.848440375594,-66.06950448303623,-0.4394701484457199
0.07,-6707.511415929092,-126.48130376455967,-1.395213068735281
0.08,-6651.683575490476,-193.27727872165752,-2.9790359512605344
0.09,-4206.214415934644,-247.56676867878315,-5.157339907321425
0.1,1083.57954997454,-263.1799430085837,-7.672518098429468
0.11,6290.110654929769,-226.31149198406212,-10.069375397025736
0.12,8428.543454776189,-152.7182214355323,-11.90470134430309
0.13,7875.136198735391,-71.19982316797442,-12.959170109484019
0.14,6053.51446868162,-1.5565698308893587,-13.256337314105945
0.15,3819.123564574949,47.80662033539349,-12.959961626275504
0.16,1907.6922603619248,76.44069946007787,-12.277031402161658
0.17,795.4622919706914,89.95647222174095,-11.3878203160338
0.18,467.1432609278544,96.26949998623368,-10.404407002718955
0.19,651.8632681350637,101.86453263154827,-9.366668155431896
0.2,913.5992591708264,109.69184526807773,-8.267341834604096
0.21,709.5750624339732,117.80771687610172,-7.094194803763782
0.22,-50.55989315646912,121.10279272248924,-5.8701440444919735
0.23,-752.8088022296773,117.08594924555851,-4.655804332978475
0.24,-947.7303600958954,108.58325343393065,-3.5098210279831243
0.25,-713.9526876869566,100.27483819501639,-2.453202916989197
0.26,-328.66117802540265,95.06176886645459,-1.4691372822734332
0.27,-16.482650080645687,93.33604972592434,-0.5245124483649811
0.28,116.26900112218144,93.83498148113202,0.40928599413194916
0.29,69.48668667788415,94.76375992013234,1.3455183026325794
0.3,-61.27665132488144,94.80481009689736,2.2818943469541395
0.31,-114.5277197662515,93.9257882414417,3.2094196019526056
0.32,3.1238886453870687,93.36876908583737,4.125162926646055
0.33,267.9345498810951,94.72406127846978,5.0402989430752525
0.34,568.719159329843,98.90732982452447,5.978413619097273
0.35,731.8744923022805,105.41029808268509,6.965001749840155
0.36,693.4006736375406,112.53667391238419,8.014462926766425
0.37,519.7467220815224,118.6024108909795,9.124307559029328
0.38,268.6563520819513,122.54442626179687,10.278391536069241
0.39,-40.632570243058645,123.68454517099134,11.451988711267017
0.4,-281.20748811827445,122.07534487918468,12.617384220710306
0.41,-414.47732836199367,118.59692079678334,13.751641821344695
0.42,-674.14960162493,113.15378614684872,14.835843379282538
0.43,-1142.7728984281932,104.0691736465831,15.842348387358449
0.44,-1492.6763055373349,90.89192762675546,16.733068124256516
0.45,-1468.3060206644848,76.08701599574636,17.480123028157177
0.46,-1145.575124690239,63.01761026897274,18.084767928683366
0.47,-718.8918971211841,53.695275159915624,18.57499069404867
0.48,-323.2199689448388,48.48471582958551,18.99046119575119
0.49,-185.5857959072908,45.94068700532486,19.365275268876115
0.5,-358.6578501718626,43.21946877492909,19.7120206675385
0.51,-489.79759690932224,38.97719153952317,20.02238894926521
0.52,-329.64978429779154,34.8799546334876,20.28971630672961
0.53,-7.280236273244635,33.19530453063242,20.526942139537454
0.54,350.4466304588568,34.91113650156048,20.763136972974927
0.55,684.8814274547358,40.08777679112844,21.032440881741177
0.56,790.4997585558125,47.464682721181184,21.362852163406213
0.5700000000000001,385.8145598929076,53.34625431342479,21.757572314336347
0.58,-318.49804709648987,53.68283687740688,22.18125418143905
0.59,-756.814403855801,48.306274622645425,22.577743740244617
0.6,-694.2767146560057,41.050819030086394,22.909406562465737
